City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
61,Salihorsk,BY,52.79,27.54,65.61,97,100,8.08,moderate rain,2020-08-23 16:23:09
62,Udachnyy,RU,66.42,112.4,51.8,57,0,6.71,clear sky,2020-08-23 16:23:10
63,Albany,US,42.6,-73.97,82.99,65,20,9.17,few clouds,2020-08-23 16:16:20
64,Troitsko-Pechorsk,RU,62.71,56.2,53.87,81,96,1.5,overcast clouds,2020-08-23 16:23:10
65,Jumla,NP,29.27,82.18,62.91,72,77,0.34,broken clouds,2020-08-23 16:21:54
66,Rio Grande,BR,-32.03,-52.1,66.2,55,0,16.11,clear sky,2020-08-23 16:21:11
67,Longyearbyen,SJ,78.22,15.64,48.2,49,20,9.17,few clouds,2020-08-23 16:20:34
68,Puerto Ayora,EC,-0.74,-90.35,69.01,77,75,18.34,broken clouds,2020-08-23 16:20:35
69,Bambous Virieux,MU,-20.34,57.76,72.0,73,40,16.11,scattered clouds,2020-08-23 16:20:43
70,College,US,64.86,-147.8,54.0,93,75,2.04,broken clouds,2020-08-23 16:23:11
71,Belmopan,BZ,17.25,-88.77,89.01,61,75,4.0,broken clouds,2020-08-23 16:23:11
72,Thompson,CA,55.74,-97.86,46.4,100,90,8.05,light rain,2020-08-23 16:21:24
73,Flinders,AU,-34.58,150.86,52.0,58,0,11.01,clear sky,2020-08-23 16:20:49
74,Ilo,PE,-17.64,-71.34,63.59,70,4,8.75,clear sky,2020-08-23 16:23:11
75,Georgetown,MY,5.41,100.34,84.2,88,40,2.24,scattered clouds,2020-08-23 16:16:40
76,Hilo,US,19.73,-155.09,75.2,88,90,4.7,overcast clouds,2020-08-23 16:20:38
77,Komsomolskiy,UZ,40.43,71.72,78.8,41,0,6.93,clear sky,2020-08-23 16:16:22
78,Saint-Philippe,RE,-21.36,55.77,71.6,73,26,2.24,scattered clouds,2020-08-23 16:20:50
79,Sahaswan,IN,28.08,78.75,81.95,76,11,10.2,few clouds,2020-08-23 16:23:12
80,Xining,CN,36.62,101.77,53.44,81,10,1.1,clear sky,2020-08-23 16:21:14
81,Urdoma,RU,61.75,48.54,63.23,78,37,2.46,scattered clouds,2020-08-23 16:19:05
82,Mormugao,IN,15.4,73.8,79.43,88,81,10.76,moderate rain,2020-08-23 16:23:12
83,Anjar,IN,23.13,70.02,79.7,83,100,19.46,light rain,2020-08-23 16:23:12
84,Chinsali,ZM,-10.54,32.08,70.2,49,99,6.51,overcast clouds,2020-08-23 16:23:12
85,Khatanga,RU,71.97,102.5,56.19,66,90,8.72,overcast clouds,2020-08-23 16:16:20
86,Saint George,US,37.1,-113.58,86.0,33,1,0.18,clear sky,2020-08-23 16:20:33
87,Pisco,PE,-13.7,-76.22,62.01,82,90,9.17,overcast clouds,2020-08-23 16:16:59
88,East London,ZA,-33.02,27.91,63.28,74,10,5.37,clear sky,2020-08-23 16:20:58
89,Najran,SA,17.49,44.13,96.8,16,100,6.93,overcast clouds,2020-08-23 16:23:13
90,Hellvik,NO,59.92,5.78,55.4,76,75,16.11,light intensity shower rain,2020-08-23 16:23:13
91,Northam,GB,51.03,-4.22,62.01,81,100,11.01,overcast clouds,2020-08-23 16:20:40
92,Carnarvon,AU,-24.87,113.63,64.4,88,81,17.22,broken clouds,2020-08-23 16:19:57
93,Budaun,IN,28.05,79.12,81.55,77,11,9.6,few clouds,2020-08-23 16:23:13
94,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,20.8,few clouds,2020-08-23 16:21:03
95,Hithadhoo,MV,-0.6,73.08,82.67,78,50,12.86,moderate rain,2020-08-23 16:20:48
96,Nanortalik,GL,60.14,-45.24,47.23,78,4,3.22,clear sky,2020-08-23 16:20:41
97,Mahebourg,MU,-20.41,57.7,71.6,73,40,16.11,scattered clouds,2020-08-23 16:21:29
98,Namibe,AO,-15.2,12.15,71.6,68,75,20.8,broken clouds,2020-08-23 16:20:45
99,Kuala Terengganu,MY,5.33,103.14,80.6,88,20,6.15,few clouds,2020-08-23 16:23:14
100,Bethel,US,41.37,-73.41,84.99,69,1,5.82,clear sky,2020-08-23 16:17:20
101,Jablah,SY,35.36,35.93,87.8,45,0,4.7,clear sky,2020-08-23 16:23:14
102,Mayumba,GA,-3.43,10.66,75.0,80,48,9.46,scattered clouds,2020-08-23 16:23:05
103,Cape Town,ZA,-33.93,18.42,64.99,82,20,9.17,few clouds,2020-08-23 16:16:22
104,Evensk,RU,61.95,159.23,42.96,64,97,8.61,overcast clouds,2020-08-23 16:21:01
105,Vardo,NO,70.37,31.11,57.2,87,100,11.41,light rain,2020-08-23 16:22:04
106,Nikolskoye,RU,59.7,30.79,66.2,68,75,4.47,broken clouds,2020-08-23 16:20:52
107,Coihaique,CL,-45.58,-72.07,39.2,86,90,9.17,light rain,2020-08-23 16:20:43
108,Hermanus,ZA,-34.42,19.23,59.0,89,100,1.01,overcast clouds,2020-08-23 16:16:25
109,Tenenkou,ML,14.46,-4.92,88.99,50,91,9.98,overcast clouds,2020-08-23 16:23:15
110,Vermillion,US,42.78,-96.93,84.99,70,1,3.36,clear sky,2020-08-23 16:23:15
111,Australind,AU,-33.27,115.72,46.0,76,0,4.21,clear sky,2020-08-23 16:23:16
112,Beringovskiy,RU,63.05,179.32,49.64,88,4,6.44,clear sky,2020-08-23 16:21:13
113,Sangar,RU,63.92,127.47,38.98,88,9,1.68,clear sky,2020-08-23 16:22:05
114,San Rafael,AR,-34.62,-68.33,63.88,25,0,7.85,clear sky,2020-08-23 16:23:16
